期号,开奖日期,前区号码,后区号码,销售额,一等奖注数,一等奖单注奖金,一等奖追加注数,一等奖追加单注奖金,二等奖注数,二等奖单注奖金,二等奖追加注数,二等奖追加单注奖金,奖池金额,星期几,中文星期
24126,2024-10-30,02 10 17 28 34,07 08,294045224,5,"10,000,000",0,0,112,"122,664",40,"98,131",905005034.37,Wednesday,周三
24127,2024-11-02,02 03 10 16 28,07 10,320316369,4,"10,000,000",1,"8,000,000",146,"107,175",40,"85,740",924642774.0,Saturday,周六
24128,2024-11-04,03 07 10 29 31,01 03,295772015,2,"10,000,000",1,"8,000,000",75,"214,022",21,"171,217",966301155.53,Monday,周一
24129,2024-11-06,07 19 30 31 34,05 07,293942499,3,"10,000,000",0,0,78,"181,532",23,"145,225",998345494.65,Wednesday,周三
24130,2024-11-09,11 21 25 31 32,04 10,324915160,6,"10,000,000",2,"8,000,000",113,"132,321",29,"105,856",986242258.8,Saturday,周六
24131,2024-11-11,02 03 04 21 26,02 03,314078746,10,"8,892,360",1,"7,113,888",86,"181,338",20,"145,070",955783254.75,Monday,周一
24132,2024-11-13,05 06 10 16 31,06 09,313339293,6,"9,953,712",1,"7,962,969",86,"140,888",24,"112,710",940646991.55,Wednesday,周三
24133,2024-11-16,08 10 14 22 29,04 06,340137954,6,"10,000,000",1,"8,000,000",105,"148,951",28,"119,160",939926813.87,Saturday,周六
24134,2024-11-18,01 04 07 13 33,05 06,315446181,4,"10,000,000",0,0,123,"112,009",39,"89,607",961163598.85,Monday,周一
24135,2024-11-20,06 08 22 24 30,03 08,312278951,11,"7,341,497",4,"5,873,197",290,"39,797",97,"31,837",908783183.33,Wednesday,周三
24136,2024-11-23,01 17 20 29 34,07 08,339548742,1,"10,000,000",0,0,105,"165,661",31,"132,528",975020596.72,Saturday,周六
24137,2024-11-25,08 15 16 17 21,02 05,314223012,3,"10,000,000",2,"8,000,000",119,"104,452",48,"83,561",987311038.71,Monday,周一
24138,2024-11-27,05 17 20 28 34,04 09,314640260,3,"10,000,000",1,"8,000,000",79,"190,337",12,"152,269",1009101191.78,Wednesday,周三
24139,2024-11-30,05 12 20 23 24,05 07,346398503,9,"8,236,640",6,"6,589,312",160,"105,433",33,"84,346",965113949.19,Saturday,周六
24140,2024-12-02,03 06 15 23 31,01 12,313586274,4,"10,000,000",0,0,112,"128,171",46,"102,536",992732460.61,Monday,周一
24141,2024-12-04,02 06 07 16 20,02 11,302351348,7,"8,545,200",2,"6,836,160",154,"71,205",43,"56,964",966806148.16,Wednesday,周三
24142,2024-12-07,08 21 24 33 34,03 10,327282822,13,"6,849,783",2,"5,479,826",88,"112,528",22,"90,022",908929975.14,Saturday,周六
24143,2024-12-09,16 20 22 24 31,04 05,299228472,6,"9,370,240",3,"7,496,192",144,"80,121",72,"64,096",887487585.3,Monday,周一
24144,2024-12-11,06 07 08 21 30,01 05,298735511,4,"10,000,000",1,"8,000,000",119,"119,813",34,"95,850",901592546.7,Wednesday,周三
24145,2024-12-14,01 06 09 22 24,01 03,320626163,4,"10,000,000",0,0,95,"174,535",22,"139,628",931270188.4,Saturday,周六
24146,2024-12-16,05 20 21 22 32,03 04,296215559,6,"9,555,674",2,"7,644,539",125,"106,831",22,"85,464",912659139.49,Monday,周一
24147,2024-12-18,12 18 21 22 31,01 07,297698975,0,0,0,0,75,"223,695",15,"178,956",981658901.04,Wednesday,周三
24148,2024-12-21,06 09 20 32 35,08 11,319089575,2,"10,000,000",0,0,119,"109,466",63,"87,572",1027404435.51,Saturday,周六
24149,2024-12-23,02 05 16 18 22,07 09,293475449,3,"10,000,000",0,0,108,"110,866",21,"88,692",1046459747.02,Monday,周一
24150,2024-12-25,04 11 23 25 34,05 07,294938543,2,"10,000,000",0,0,146,"85,346",49,"68,276",1082499928.15,Wednesday,周三
24151,2024-12-28,05 12 17 19 35,10 11,315044922,5,"10,000,000",0,0,109,"146,038",28,"116,830",1100535289.14,Saturday,周六
24152,2024-12-30,01 02 07 08 31,02 10,303398169,3,"10,000,000",1,"8,000,000",145,"113,095",16,"90,476",1125809265.73,Monday,周一
25001,2025-01-01,05 08 16 17 27,04 07,300925149,12,"7,654,708",0,0,162,"62,463",78,"49,970",1083648909.37,Wednesday,周三
25002,2025-01-04,19 21 22 28 32,06 09,328380460,7,"8,977,032",2,"7,181,625",90,"140,909",21,"112,727",1059802299.68,Saturday,周六
25003,2025-01-06,10 25 30 32 34,04 10,302634553,1,"10,000,000",0,0,46,"385,970",12,"308,776",1125887685.14,Monday,周一
25004,2025-01-08,02 05 09 13 33,01 07,294103605,3,"10,000,000",1,"8,000,000",102,"138,323",30,"110,658",1149680405.57,Wednesday,周三
25005,2025-01-11,05 06 08 31 32,09 11,313119385,4,"9,839,697",3,"7,871,757",212,"54,953",45,"43,962",1135025880.19,Saturday,周六
25006,2025-01-13,03 04 13 19 35,03 10,315397229,4,"10,000,000",0,0,104,"141,473",25,"113,178",1157222668.51,Monday,周一
25007,2025-01-15,15 22 23 25 31,01 09,311942681,1,"10,000,000",0,0,70,"271,022",9,"216,817",1221403982.49,Wednesday,周三
25008,2025-01-18,01 05 07 13 35,05 12,336989378,7,"10,000,000",0,0,132,"94,439",50,"75,551",1208994728.86,Saturday,周六
25009,2025-01-20,03 19 21 30 32,06 09,308814993,5,"10,000,000",1,"8,000,000",126,"108,815",26,"87,052",1207630140.08,Monday,周一
25010,2025-01-22,05 21 28 30 32,07 12,314170042,6,"10,000,000",2,"8,000,000",86,"171,799",27,"137,439",1197169901.83,Wednesday,周三
25011,2025-01-25,03 06 07 11 27,02 08,373437138,5,"9,667,253",1,"7,733,802",163,"65,086",25,"52,068",1183329141.76,Saturday,周六
25012,2025-02-08,02 18 19 21 25,02 11,358739098,2,"10,000,000",0,0,97,"183,282",27,"146,625",1240397718.82,Saturday,周六
25013,2025-02-10,14 16 18 20 35,02 05,289136668,5,"10,000,000",0,0,81,"201,895",21,"161,516",1260404089.53,Monday,周一
25014,2025-02-12,05 19 22 29 35,02 10,289867311,4,"10,000,000",0,0,128,"106,474",31,"85,179",1278086019.59,Wednesday,周三
25015,2025-02-15,07 10 24 31 35,01 08,314676590,4,"10,000,000",2,"8,000,000",84,"178,523",31,"142,818",1290950588.69,Saturday,周六
25016,2025-02-17,05 07 12 20 29,08 12,288272949,12,"6,900,770",10,"5,520,616",157,"87,391",43,"69,912",1212239218.29,Monday,周一
